country,sku,feature,importance,coefficient
AT,SKU_001,group_1_website_traffic_emov_3,0.2027152959886313,0.024151153487275936
AT,SKU_001,group_1_website_traffic_mov_3,0.09393950705674017,-0.011160055779097332
AT,SKU_001,group_1_website_traffic_lag_1,0.07570044740233195,-0.004941532145869389
AT,SKU_001,group_2_add_to_carts_emov_7,0.06753379899797933,-0.09748281441978185
AT,SKU_001,group_1_demand_emov_3,0.06720145171214931,1.5744866218817368
AT,SKU_001,group_1_website_traffic_emov_7,0.06634020450058445,-0.01317312079419917
AT,SKU_001,group_2_add_to_carts_emov_14,0.05612137307420456,0.10831354875594054
AT,SKU_001,group_1_demand_mov_3,0.042529351402188546,-1.0145912816991864
AT,SKU_001,group_1_website_traffic_lag_3,0.03766799285262043,0.002460081039763175
AT,SKU_001,group_1_demand_lag_1,0.03052300694344246,-0.4071435061854177
AT,SKU_001,group_1_demand_emov_14,0.02390046206339625,1.1636286889616552
AT,SKU_001,group_2_add_to_carts_emov_3,0.021972885460221903,0.021633496714820705
AT,SKU_001,conversion_rate,0.019954310322516315,292.23428028296576
AT,SKU_001,is_weekend,0.016637022501642423,-1.974899550511438
AT,SKU_001,is_holiday,0.01657445464898336,3.974099498137888
AT,SKU_001,add_to_carts,0.015841479979501746,0.008874753490269201
AT,SKU_001,group_2_add_to_carts_mov_14,0.015836636514741802,-0.029933061366917525
AT,SKU_001,group_1_demand_emov_7,0.013602124295120734,-0.4786726549142884
AT,SKU_001,group_1_website_traffic_emov_14,0.01331292467701239,-0.003948667482172919
AT,SKU_001,website_traffic,0.012970774081094401,0.0008459397462413081
AT,SKU_001,group_1_demand_lag_3,0.01196451270391478,0.15917830601857985
AT,SKU_001,group_1_website_traffic_mov_14,0.010643209779966906,0.0032931285750484496
AT,SKU_001,group_1_demand_emov_28,0.009604963931036716,-0.6861789139308154
AT,SKU_001,day_of_week,0.007296924543201955,0.19559888024599897
AT,SKU_001,group_1_website_traffic_mov_7,0.005929515886503471,0.0013386450611794368
AT,SKU_001,group_1_website_traffic_emov_28,0.0059053551276689155,0.0024907971223462823
AT,SKU_001,group_1_demand_mov_7,0.00537677709757886,-0.19045283261470164
AT,SKU_001,group_2_add_to_carts_mov_3,0.005294230004279301,0.005315534414587559
AT,SKU_001,group_2_add_to_carts_lag_3,0.004887142403537257,0.002726904324094893
AT,SKU_001,group_1_demand_mov_28,0.0039655147874716355,-0.26522062498721494
AT,SKU_001,group_1_demand_mov_14,0.00336096035321513,-0.15923759684912223
AT,SKU_001,group_1_website_traffic_lag_7,0.0023382179891820805,-0.00015313159003926005
AT,SKU_001,group_2_add_to_carts_lag_1,0.002152881877527247,-0.0012055026778658492
AT,SKU_001,group_2_conversion_rate_lag_3,0.001992285349377672,-29.193921540734223
AT,SKU_001,group_2_add_to_carts_mov_7,0.0016993816912957787,0.002447185114023597
